date,bot_name,strategy,profit,win_count,loss_count,total_trades,max_drawdown,balance,starting_capital,win_rate
2026-02-13,AlexSignalForgeV4-9030,unknown,-16.57566029,0,0,162,"0.0000","79.52220650","",""
2026-02-13,AlexBandSniperV18MLAIM-9040,unknown,-90.23459322,0,0,527,"0.0000",109.86300284,"",""
2026-02-13,AlexNexusForgeV8AIV2-9050,unknown,792.51738901,0,0,1457,"0.0000",1793.73950789,"",""
2026-02-13,ECRV2-9060,unknown,-8.95270555,0,0,32,"0.0000",990.71563063,"",""
2026-02-12,Alex_NinjaV10-9030,unknown,-18.51801777,0,0,147,"0.0000",77.65598635,"",""
2026-02-13,Alex_NinjaV9-9070,unknown,55.76352332,0,0,662,"0.0000",256.98939212,"",""
2026-02-12,Bot-9020,unknown,5.95941784,0,0,27,"0.0000",405.98042241,"",""
2026-02-13,Alex_DivergenceV8-9100,unknown,-15.81910052,0,0,32,"0.0000","984.35874040","",""
2026-02-12,AlexNexusForgeV8AIV2-9050,unknown,775.22390465,0,0,1457,"0.0000",1777.53321789,"",""
2026-02-13,AlexRegimePullbackFuturesV1-9110,unknown,-127.85281781,0,0,188,"0.0000","872.08747800","",""
2026-02-12,Alex_Divergence_Optuna-9060,unknown,"-301.75022080",0,0,1412,"0.0000",699.34769765,"",""
2026-02-13,Bot-9040,unknown,-90.32345372,0,0,527,"0.0000",109.62080284,"",""
2026-02-12,AlexBandSniperV19MLAI-9010,unknown,-216.33732455,0,0,973,"0.0000",585.83713104,"",""
2026-02-12,Bot-9010,unknown,-209.75944394,0,0,970,"0.0000",589.86247324,"",""
2026-02-12,AlexSignalForgeV4-9020,unknown,5.90009872,0,0,27,"0.0000",406.41874841,"",""
2026-02-12,AlexSignalForgeV4-9030,unknown,-18.05505625,0,0,156,"0.0000",77.95633438,"",""
2026-02-12,Bot-9050,unknown,777.13422464,0,0,1457,"0.0000",1778.26827789,"",""
2026-02-12,Alex_NinjaV9-9070,unknown,46.23793067,0,0,591,"0.0000",246.26430132,"",""
2026-02-12,Alex_DivergenceV8-9100,unknown,0.48264712,0,0,3,"0.0000",1000.48997228,"",""
2026-02-12,Bot-9030,unknown,-18.82799589,0,0,156,"0.0000",77.30711037,"",""
2026-02-13,Bot-9080,unknown,-26.69508081,0,0,98,"0.0000",373.46794159,"",""
2026-02-12,Alex_DivergenceV7-9100,unknown,13.47851707,0,0,24,"0.0000",1013.48690593,"",""
2026-02-13,Bot-9050,unknown,792.79701953,0,0,1457,"0.0000",1793.94552789,"",""
2026-02-13,Bot-9110,unknown,-128.23496896,0,0,188,"0.0000","871.95995800","",""
2026-02-13,Bot-9020,unknown,5.76459008,0,0,28,"0.0000","406.52938770","",""
2026-02-13,ECR-9060,unknown,"0.00000000",0,0,0,"0.0000","1000.00000000","",""
2026-02-13,Bot-9010,unknown,-212.15773039,0,0,998,"0.0000",588.57594934,"",""
2026-02-14,AlexSignalForgeV4-9030,unknown,-17.94447702,0,0,165,"0.0000",78.23368247,"",""
2026-02-14,Bot-9070,unknown,68.36428498,0,0,706,"0.0000",268.23811475,"",""
2026-02-15,AlexBandSniperV18MLAIM-9040,unknown,"-102.64234480",0,0,575,"0.0000",97.76705483,"",""
2026-02-14,HybridOrderbookStrategy15m-9080,unknown,-46.16350389,0,0,112,"0.0000",353.20847485,"",""
2026-02-15,Bot-9110,unknown,-133.91847375,0,0,241,"0.0000",866.05928197,"",""
2026-02-14,AlexNexusForgeV8AIV2-9050,unknown,807.64264988,0,0,1457,"0.0000",1808.07904789,"",""
2026-02-13,Bot-9030,unknown,-16.59847219,0,0,162,"0.0000","79.52220650","",""
2026-02-15,Bot-9030,unknown,-17.73526495,0,0,167,"0.0000",78.61958555,"",""
2026-02-15,AlexRegimePullbackFuturesV1-9110,unknown,-133.94603719,0,0,241,"0.0000",866.05928197,"",""
2026-02-14,AlexBandSniperV18MLAIM-9000,unknown,-54.98333159,0,0,919,"0.0000",346.96376619,"",""
2026-02-14,AlexBandSniperV19MLAI-9010,unknown,-238.96682665,0,0,1123,"0.0000",563.11170855,"",""
2026-02-16,Bot-9110,unknown,-122.87257905,0,0,254,"0.0000",877.08267905,"",""
2026-02-14,Bot-9050,unknown,807.36186735,0,0,1457,"0.0000",1808.52374789,"",""
2026-02-14,AlexSignalForgeV4-9020,unknown,2.38955128,0,0,46,"0.0000",402.82540551,"",""
2026-02-15,AlexBandSniperV18MLAIM-9000,unknown,-81.71962472,0,0,953,"0.0000",318.25070028,"",""
2026-02-15,AlexBandSniperV19MLAI-9010,unknown,-271.42356849,0,0,1157,"0.0000",529.46859077,"",""
2026-02-14,Bot-9030,unknown,-17.89457748,0,0,165,"0.0000",78.23368247,"",""
2026-02-14,Bot-9110,unknown,-131.36847035,0,0,212,"0.0000","868.32079130","",""
2026-02-14,AlexBandSniperV18MLAIM-9040,unknown,-93.29723833,0,0,554,"0.0000",107.09771668,"",""
2026-02-15,AlexNexusForgeV8AIV2-9050,unknown,787.17422472,0,0,1457,"0.0000",1788.61497789,"",""
2026-02-14,ECRV2-9060,unknown,-28.99467803,0,0,44,"0.0000",970.25211849,"",""
2026-02-14,Alex_NinjaV9-9070,unknown,74.16340929,0,0,741,"0.0000",275.40235642,"",""
2026-02-15,ECRV2-9060,unknown,-14.80182317,0,0,69,"0.0000","985.81698570","",""
2026-02-15,Bot-9040,unknown,-103.15733107,0,0,574,"0.0000",97.44045011,"",""
2026-02-15,AlexSignalForgeV4-9030,unknown,-17.65156495,0,0,167,"0.0000",78.51987678,"",""
2026-02-15,Bot-9050,unknown,787.25297467,0,0,1457,"0.0000",1788.61497789,"",""
2026-02-15,AlexSignalForgeV4-9020,unknown,"7.53912590",0,0,49,"0.0000",408.51564457,"",""
2026-02-15,Alex_NinjaV9-9070,unknown,54.98519844,0,0,770,"0.0000",255.75981002,"",""
2026-02-15,Alex_DivergenceV8-9100,unknown,-28.67275159,0,0,113,"0.0000","971.31591820","",""
2026-02-16,AlexBandSniperV18MLAIM-9040,unknown,-101.33593456,0,0,596,"0.0000",98.77798257,"",""
2026-02-16,Bot-9050,unknown,787.65304802,0,0,1457,"0.0000",1788.72579789,"",""
2026-02-16,AlexBandSniperV19MLAI-9010,unknown,-254.33970997,0,0,1212,"0.0000",546.00308738,"",""
2026-02-16,AlexBandSniperV18MLAIM-9000,unknown,-75.27725296,0,0,1036,"0.0000",325.45103291,"",""
2026-02-16,Bot-9040,unknown,-101.50940754,0,0,596,"0.0000",98.68370257,"",""
2026-02-16,AlexSignalForgeV4-9020,unknown,4.81196515,0,0,52,"0.0000",405.22499282,"",""
2026-02-16,Alex_NinjaV9-9070,unknown,63.79583542,0,0,809,"0.0000",264.11619008,"",""
2026-02-16,AlexSignalForgeV4-9030,unknown,-18.15944036,0,0,167,"0.0000",78.01935273,"",""
2026-02-16,ECRV2-9060,unknown,-12.63820333,0,0,100,"0.0000",986.77597999,"",""
2026-02-21,Bot-9060,unknown,28.44266891,0,0,41,"0.0000",1028.94845739,"",""
2026-02-18,AlexBandSniperV18MLAIM-9040,unknown,-103.91320576,0,0,642,"0.0000",96.44907039,"",""
2026-02-18,Bot-9050,unknown,773.45286441,0,0,1457,"0.0000",1774.21687789,"",""
2026-02-19,AlexBandSniperV119-9010,unknown,10.55545382,0,0,236,"0.0000",811.42495088,"",""
2026-02-17,Bot-9050,unknown,787.06184187,0,0,1457,"0.0000",1788.64633789,"",""
2026-02-19,AlexSignalForgeV4-9020,unknown,14.03482399,0,0,66,"0.0000",414.78289946,"",""
2026-02-16,AlexNexusForgeV8AIV2-9050,unknown,791.63389534,0,0,1457,"0.0000",1792.88236789,"",""
2026-02-17,Bot-9030,unknown,-17.67975831,0,0,167,"0.0000",78.46368375,"",""
2026-02-19,Bot-9110,unknown,-120.23930809,0,0,272,"0.0000",879.05764991,"",""
2026-02-19,AlexBandSniperV18MLAIM-9040,unknown,-104.49085073,0,0,643,"0.0000",95.41440741,"",""
2026-02-19,AlexSignalForgeV4-9030,unknown,-16.83386819,0,0,171,"0.0000",79.27854674,"",""
2026-02-17,Bot-9040,unknown,-100.92096498,0,0,622,"0.0000",99.22667307,"",""
2026-02-19,Bot-9030,unknown,-17.05393246,0,0,171,"0.0000",78.91378807,"",""
2026-02-19,AlexRegimePullbackFuturesV1-9110,unknown,-135.20521796,0,0,284,"0.0000",865.00606566,"",""
2026-02-18,AlexNexusForgeV8AIV2-9050,unknown,773.45286441,0,0,1457,"0.0000",1774.51766789,"",""
2026-02-18,Bot-9030,unknown,-17.09851925,0,0,167,"0.0000",78.98288067,"",""
2026-02-17,AlexBandSniperV119-9010,unknown,23.71893778,0,0,100,"0.0000",824.49127939,"",""
2026-02-17,AlexSignalForgeV4-9020,unknown,4.86184784,0,0,52,"0.0000",405.44823782,"",""
2026-02-17,AlexSignalForgeV4-9030,unknown,-17.65675725,0,0,167,"0.0000",78.50859847,"",""
2026-02-17,AlexBandSniperV18MLAIM-9040,unknown,-101.18327791,0,0,623,"0.0000",99.12045366,"",""
2026-02-17,ECRV2-9060,unknown,2.05507393,0,0,27,"0.0000",1002.77977035,"",""
2026-02-16,Bot-9030,unknown,-18.11753841,0,0,167,"0.0000",78.01935273,"",""
2026-02-16,AlexBattleTankKillerV9-9080,unknown,"-0.51209480",0,0,52,"0.0000","402.27940300","",""
2026-02-16,Alex_DivergenceV8-9100,unknown,-39.13251353,0,0,145,"0.0000","961.90915290","",""
2026-02-16,AlexRegimePullbackFuturesV1-9110,unknown,-120.20807321,0,0,255,"0.0000",879.74382432,"",""
2026-02-16,AlexBandSniperV119-9010,unknown,-4.67246506,0,0,15,"0.0000","796.01364000","",""
2026-02-17,Alex_NinjaV9-9070,unknown,"74.48785880",0,0,849,"0.0000",274.93287528,"",""
2026-02-17,AlexNexusForgeV8AIV2-9050,unknown,787.18691259,0,0,1457,"0.0000",1788.67899789,"",""
2026-02-17,AlexBattleTankKillerV9-9080,unknown,-11.41659136,0,0,63,"0.0000","390.57940620","",""
2026-02-17,Alex_DivergenceV8-9100,unknown,-22.23101041,0,0,180,"0.0000",980.73833128,"",""
2026-02-17,AlexRegimePullbackFuturesV1-9110,unknown,"-123.67565020",0,0,265,"0.0000","876.28426590","",""
2026-02-17,AlexBandSniperV18MLAIM-9000,unknown,-81.43577116,0,0,1091,"0.0000",319.34810079,"",""
2026-02-18,AlexBandSniperV18MLAIM-9000,unknown,-87.17246008,0,0,1169,"0.0000",313.51312582,"",""
2026-02-18,AlexBandSniperV119-9010,unknown,12.36305506,0,0,161,"0.0000",815.85101566,"",""
2026-02-18,AlexSignalForgeV4-9020,unknown,13.29832949,0,0,55,"0.0000",413.59526784,"",""
2026-02-19,Bot-9050,unknown,757.35102325,0,0,1457,"0.0000",1758.67388789,"",""
2026-02-18,AlexSignalForgeV4-9030,unknown,-17.16304659,0,0,167,"0.0000",78.96421256,"",""
2026-02-18,Bot-9040,unknown,-104.14739062,0,0,642,"0.0000",96.61507039,"",""
2026-02-18,ECRV2-9060,unknown,-1.93164004,0,0,30,"0.0000",999.04348019,"",""
2026-02-18,Alex_NinjaV9-9070,unknown,71.42079281,0,0,874,"0.0000",271.56634851,"",""
2026-02-18,AlexBattleTankKillerV9-9080,unknown,-42.51263416,0,0,70,"0.0000",359.73955391,"",""
2026-02-18,Alex_DivergenceV8-9100,unknown,-24.37061702,0,0,206,"0.0000",976.46997333,"",""
2026-02-21,AlexBandSniperV18MLAIM-9000,unknown,-85.40706895,0,0,1339,"0.0000","316.36676350","",""
2026-02-18,AlexRegimePullbackFuturesV1-9110,unknown,-122.08180277,0,0,272,"0.0000",877.12204991,"",""
2026-02-19,Bot-9040,unknown,-104.75325336,0,0,643,"0.0000",95.74160741,"",""
2026-02-20,Bot-9030,unknown,-17.37041603,0,0,171,"0.0000",78.67454235,"",""
2026-02-20,ECRV2-9060,unknown,25.05952472,0,0,33,"0.0000",1025.93743979,"",""
2026-02-19,ECRV2-9060,unknown,-4.76555515,0,0,31,"0.0000",994.64199437,"",""
2026-02-19,Alex_NinjaV9-9070,unknown,80.29242634,0,0,933,"0.0000",281.65208754,"",""
2026-02-19,AlexBattleTankKillerV9-9080,unknown,-70.20657866,0,0,74,"0.0000",330.01934393,"",""
2026-02-19,Alex_DivergenceV8-9100,unknown,-31.26605065,0,0,237,"0.0000",968.72013846,"",""
2026-02-19,AlexBandSniperV18MLAIM-9000,unknown,-79.99047912,0,0,1241,"0.0000",320.96130689,"",""
2026-02-20,AlexBandSniperV18MLAIM-9000,unknown,"-87.44189930",0,0,1282,"0.0000",312.69227641,"",""
2026-02-20,AlexBandSniperV119-9010,unknown,28.79471341,0,0,327,"0.0000",831.20968417,"",""
2026-02-20,Alex_NinjaV9-9070,unknown,102.61209689,0,0,971,"0.0000",303.01393477,"",""
2026-02-20,AlexBattleTankKillerV9-9080,unknown,-53.21125749,0,0,84,"0.0000",348.24219953,"",""
2026-02-19,AlexNexusForgeV8AIV2-9050,unknown,"757.54274480",0,0,1457,"0.0000",1758.67388789,"",""
2026-02-20,AlexNexusForgeV8AIV2-9050,unknown,752.90549937,0,0,1457,"0.0000",1753.79970789,"",""
2026-02-21,AlexBattleTankKillerV9-9080,unknown,"-58.77440950",0,0,95,"0.0000",342.14278621,"",""
2026-02-20,Bot-9050,unknown,751.92760947,0,0,1457,"0.0000",1753.18749789,"",""
2026-02-20,AlexSignalForgeV4-9020,unknown,10.33491614,0,0,68,"0.0000",410.79803856,"",""
2026-02-20,AlexSignalForgeV4-9030,unknown,-16.95098402,0,0,171,"0.0000",79.10040092,"",""
2026-02-21,Bot-9050,unknown,755.76173024,0,0,1457,"0.0000",1757.00790789,"",""
2026-02-20,Alex_DivergenceV8-9100,unknown,-14.47429219,0,0,288,"0.0000",986.17335166,"",""
2026-02-21,Alex_NinjaV9-9070,unknown,104.50333406,0,0,1002,"0.0000",305.95468179,"",""
2026-02-20,Alex_Kasuari-9040,unknown,46.62095488,0,0,21,"0.0000",248.08931434,"",""
2026-02-20,Kasuari-9040,unknown,13.16348323,0,0,14,"0.0000",216.39445954,"",""
2026-02-21,AlexSignalForgeV4-9030,unknown,-16.53182844,0,0,172,"0.0000",79.53594085,"",""
2026-02-21,Alex_Kasuari-9040,unknown,"60.65745240",0,0,54,"0.0000",263.53907352,"",""
2026-02-21,AlexBandSniperV119-9010,unknown,19.00944351,0,0,397,"0.0000","821.52846050","",""
2026-02-21,AlexNexusForgeV8AIV2-9050,unknown,755.54565802,0,0,1457,"0.0000",1756.55150789,"",""
2026-02-21,Bot-9030,unknown,-16.52778989,0,0,171,"0.0000",79.57672904,"",""
2026-02-21,ECRV2-9060,unknown,28.12949696,0,0,41,"0.0000",1028.94845739,"",""
2026-02-21,Alex_DivergenceV8-9100,unknown,-16.38174071,0,0,325,"0.0000",984.09497951,"",""
